epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6726,2.07204,3.21044,2.2458,0.00324,0.97222,0.04207,0.0195,1.50363,3.41412,2.44873,0.0973,0.0003,0.0003
2,37.4999,1.94,3.09799,2.20587,0.00333,1,0.12064,0.04649,1.49766,3.42963,2.40966,0.0936931,0.00069307,0.00069307
3,55.3062,1.8838,3.07062,2.12097,0.00333,1,0.1403,0.06558,1.44306,3.35115,2.41056,0.0900782,0.00107822,0.00107822
4,72.9894,1.77334,2.8864,1.97976,0.00333,1,0.23015,0.10447,1.41293,3.28851,2.25535,0.0864555,0.00145545,0.00145545
5,90.8539,1.65597,2.86566,1.8136,0.00333,1,0.23204,0.10051,1.27383,3.24201,2.09201,0.0828248,0.00182476,0.00182476
6,109.015,1.62205,2.78606,1.73716,0.00333,1,0.39135,0.1951,1.23713,3.16713,2.00719,0.0791862,0.00218615,0.00218615
7,127.155,1.59365,2.76027,1.69569,0.00333,1,0.52547,0.25822,1.19805,3.14151,1.90821,0.0755396,0.00253962,0.00253962
8,145.572,1.47285,2.72793,1.57484,0.00333,1,0.63015,0.34378,1.11696,3.09565,1.82417,0.0718852,0.00288517,0.00288517
9,163.713,1.4141,2.52302,1.55595,0.00333,1,0.67542,0.34079,1.13209,3.05652,1.74892,0.0682228,0.0032228,0.0032228
10,182.36,1.38101,2.41631,1.53643,0.00333,1,0.62556,0.347,1.13653,2.98438,1.71103,0.0645525,0.00355251,0.00355251
11,201.002,1.41593,2.22978,1.56522,0.00333,1,0.71322,0.40457,1.04744,2.97212,1.72506,0.0608743,0.0038743,0.0038743
12,219.453,1.35527,2.02309,1.47075,0.00979,1,0.87158,0.47905,1.08277,2.89277,1.67972,0.0571882,0.00418817,0.00418817
13,237.778,1.33971,1.88934,1.50382,0.9569,0.61698,0.8787,0.44065,1.41279,2.87446,2.01501,0.0534941,0.00449412,0.00449412
14,256.04,1.41323,1.82337,1.48798,1,0.4551,0.91827,0.48521,1.37124,2.82217,1.93621,0.0497922,0.00479215,0.00479215
15,274.028,1.32753,1.70211,1.41106,0.74327,0.64348,0.70096,0.38225,1.22144,2.79814,1.84019,0.0460823,0.00508226,0.00508226
16,291.882,1.39697,1.68243,1.46016,0.83618,0.42569,0.71805,0.39564,1.28574,2.78955,1.99854,0.0423644,0.00536445,0.00536445
17,309.822,1.34051,1.50458,1.35003,0.52919,0.61111,0.60045,0.31724,1.35711,2.82515,2.08862,0.0386387,0.00563872,0.00563872
18,328.05,1.36041,1.45922,1.37892,1,0.85427,0.91504,0.48591,1.56401,2.48629,2.33536,0.0349051,0.00590507,0.00590507
19,346.432,1.35726,1.43688,1.43085,0.60457,0.72199,0.5932,0.28119,1.58015,2.59724,2.37157,0.0311635,0.0061635,0.0061635
20,364.813,1.34568,1.45711,1.40588,0.6165,0.52778,0.60767,0.29944,1.50756,2.60081,2.24599,0.027414,0.00641401,0.00641401
21,382.977,1.17351,1.3356,1.30877,0.91339,0.61111,0.77262,0.35947,1.56623,2.67888,2.28185,0.0236566,0.0066566,0.0066566
